"athlete_id","player_name","team","position","headshot_url"
"5095135","Zach Weber","Robert Morris","LS","https://a.espncdn.com/i/headshots/college-football/players/full/5095135.png"
"5095137","Garrison Curry","Presbyterian","TE","https://a.espncdn.com/i/headshots/college-football/players/full/5095137.png"
"5095138","Trevor Wilson","Campbell","TE","https://a.espncdn.com/i/headshots/college-football/players/full/5095138.png"
"5095145","Ramier Lewis","Alabama A&M","OL","https://a.espncdn.com/i/headshots/college-football/players/full/5095145.png"
"5095156","Obinna Okeke","New Mexico State","DE","https://a.espncdn.com/i/headshots/college-football/players/full/5095156.png"
"5095216","Kai Colon","Princeton","QB","https://a.espncdn.com/i/headshots/college-football/players/full/5095216.png"
"5095217","Noah Billings","Princeton","DB","https://a.espncdn.com/i/headshots/college-football/players/full/5095217.png"
"5095218","Ryan Butler","Rice","RB","https://a.espncdn.com/i/headshots/college-football/players/full/5095218.png"
"5095219","Dareion Murphy","Princeton","RB","https://a.espncdn.com/i/headshots/college-football/players/full/5095219.png"
"5095220","D'Shawn Jones","Princeton","DB","https://a.espncdn.com/i/headshots/college-football/players/full/5095220.png"
"5095221","Jalen Jones","Princeton","LB","https://a.espncdn.com/i/headshots/college-football/players/full/5095221.png"
"5095222","Sekou Roland","Princeton","LB","https://a.espncdn.com/i/headshots/college-football/players/full/5095222.png"
"5095223","Marco Scarano","Princeton","LB","https://a.espncdn.com/i/headshots/college-football/players/full/5095223.png"
"5095224","Tahj Owens","Princeton","DB","https://a.espncdn.com/i/headshots/college-football/players/full/5095224.png"
"5095225","Solomon Williams","Princeton","DB","https://a.espncdn.com/i/headshots/college-football/players/full/5095225.png"
"5095226","Will Beesley","Princeton","LB","https://a.espncdn.com/i/headshots/college-football/players/full/5095226.png"
"5095227","Ethan Puckett","Princeton","LB","https://a.espncdn.com/i/headshots/college-football/players/full/5095227.png"
"5095228","Scott Becker","Princeton","OL","https://a.espncdn.com/i/headshots/college-football/players/full/5095228.png"
"5095229","Jaden Wedderburn","Princeton","OL","https://a.espncdn.com/i/headshots/college-football/players/full/5095229.png"
"5095230","Aaron Richard","Princeton","DL","https://a.espncdn.com/i/headshots/college-football/players/full/5095230.png"
"5095231","Cooper Koers","Princeton","OL","https://a.espncdn.com/i/headshots/college-football/players/full/5095231.png"
"5095232","Charlie Lingon","Princeton","DL","https://a.espncdn.com/i/headshots/college-football/players/full/5095232.png"
"5095234","Justice Musser","Princeton","OL","https://a.espncdn.com/i/headshots/college-football/players/full/5095234.png"
"5095237","Charley Rossi","Princeton","WR","https://a.espncdn.com/i/headshots/college-football/players/full/5095237.png"
"5095238","Logan Rager","Princeton","LS","https://a.espncdn.com/i/headshots/college-football/players/full/5095238.png"
"5095242","Cyrus Ellison","South Carolina State","WR","https://a.espncdn.com/i/headshots/college-football/players/full/5095242.png"
"5095245","Andre Washington","Alcorn State","QB","https://a.espncdn.com/i/headshots/college-football/players/full/5095245.png"
"5095250","Kwantre Harry","South Carolina State","DB","https://a.espncdn.com/i/headshots/college-football/players/full/5095250.png"
"5095256","Tray Franklin","Coastal Carolina","OL","https://a.espncdn.com/i/headshots/college-football/players/full/5095256.png"
"5095260","Shamontae Burgess","South Carolina State","WR","https://a.espncdn.com/i/headshots/college-football/players/full/5095260.png"
"5095263","Ashaad Hall","UTEP","DL","https://a.espncdn.com/i/headshots/college-football/players/full/5095263.png"
"5095266","Micaiah Settles","South Carolina State","DL","https://a.espncdn.com/i/headshots/college-football/players/full/5095266.png"
"5095360","Eric Singleton Jr.","Auburn","WR","https://a.espncdn.com/i/headshots/college-football/players/full/5095360.png"
"5095368","Jack Procter","Washington State","DE","https://a.espncdn.com/i/headshots/college-football/players/full/5095368.png"
"5095493","Jason Stokes","Lane College",NA,"https://a.espncdn.com/i/headshots/college-football/players/full/5095493.png"
"5095596","Collin Vaughn","Youngstown State","DL","https://a.espncdn.com/i/headshots/college-football/players/full/5095596.png"
"5095771","Ethan Greenwood","Long Island University","QB","https://a.espncdn.com/i/headshots/college-football/players/full/5095771.png"
"5095773","Avery Dixon","Charleston Southern","S","https://a.espncdn.com/i/headshots/college-football/players/full/5095773.png"
"5095775","JJ Hudson","The Citadel","WR","https://a.espncdn.com/i/headshots/college-football/players/full/5095775.png"
"5095776","Cale Williams","The Citadel","DB","https://a.espncdn.com/i/headshots/college-football/players/full/5095776.png"
"5095779","Johnny Crawford III","The Citadel","RB","https://a.espncdn.com/i/headshots/college-football/players/full/5095779.png"
"5095780","Corey Ibrahim","The Citadel","RB","https://a.espncdn.com/i/headshots/college-football/players/full/5095780.png"
"5095781","Justice Gilliard","The Citadel","DB","https://a.espncdn.com/i/headshots/college-football/players/full/5095781.png"
"5095782","Josh Cole","The Citadel","DL","https://a.espncdn.com/i/headshots/college-football/players/full/5095782.png"
"5095783","Maurice Bonneau Jr.","The Citadel","DL","https://a.espncdn.com/i/headshots/college-football/players/full/5095783.png"
"5095787","Sawyer Whitman","The Citadel","OL","https://a.espncdn.com/i/headshots/college-football/players/full/5095787.png"
"5095792","Carson Arnold","The Citadel","DL","https://a.espncdn.com/i/headshots/college-football/players/full/5095792.png"
"5095794","Ha'Keem Monroe","The Citadel","WR","https://a.espncdn.com/i/headshots/college-football/players/full/5095794.png"
"5095795","Jack McCall","The Citadel","LS","https://a.espncdn.com/i/headshots/college-football/players/full/5095795.png"
"5095796","Ben Barnes","The Citadel","PK","https://a.espncdn.com/i/headshots/college-football/players/full/5095796.png"
"5095797","James Platte","The Citadel","P","https://a.espncdn.com/i/headshots/college-football/players/full/5095797.png"
"5095804","Tanner Johnson","The Citadel","LB","https://a.espncdn.com/i/headshots/college-football/players/full/5095804.png"
"5095805","Wilson Long","The Citadel","WR","https://a.espncdn.com/i/headshots/college-football/players/full/5095805.png"
"5095807","Hayden Vasquez","The Citadel","TE","https://a.espncdn.com/i/headshots/college-football/players/full/5095807.png"
"5095810","Jason Chambers","West Virginia","CB","https://a.espncdn.com/i/headshots/college-football/players/full/5095810.png"
"5095815","Chris Mosley","North Carolina Central","RB","https://a.espncdn.com/i/headshots/college-football/players/full/5095815.png"
"5095816","Malcolm Reed","North Carolina Central","DB","https://a.espncdn.com/i/headshots/college-football/players/full/5095816.png"
"5095820","Jayden Flaker","Memphis","LB","https://a.espncdn.com/i/headshots/college-football/players/full/5095820.png"
"5095822","Albert Redd","North Carolina Central","LB","https://a.espncdn.com/i/headshots/college-football/players/full/5095822.png"
"5095834","Luke Bracey","North Carolina Central","TE","https://a.espncdn.com/i/headshots/college-football/players/full/5095834.png"
