"rank","player_name","profile_name","profile_url","profile_state","article_position","article_school","article_state","article_notes","high_school","height","weight","grad_year","sixty_time","max_exit_velocity","max_bat_speed","infield_velocity","outfield_velocity","catcher_velocity","max_hand_speed","commitment","age","bats","throws","travel_team","fastball_velocity","curveball_velocity","slider_velocity","changeup_velocity","fastball_spin_rate","pop_time","scrape_error","home_to_first"
"122","Landon Brown","Landon Brown","https://www.prepbaseballreport.com/profiles/TX/Landon-Brown-9801657432","TX","RHP","Iowa Colony HS (TX)","TX","","Iowa Colony (HS) / TX","6' 3""","215","2026","7.06","99.3","79.0","93","","","24.8","(9/18/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","18yr 7mo","R","R","Wildcatters 2026 National","98","73-77","79.6 - 83.2","85.4-87.1","2417","","",""
"123","Brody Schumaker","Brody Schumaker","https://www.prepbaseballreport.com/profiles/CA/Brody-Schumaker-4021837956-8372601495","CA","UTL","Santa Margarita HS (CA)","CA","","Santa Margarita Catholic (HS) / CA","5' 9""","145","2026","","","","","","","","TCU (8/13/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe News Comments Contact Best Of Stats","","","","","","","","","","","",""
"124","Elliot Lascelles","Elliot Lascelles","https://www.prepbaseballreport.com/profiles/ON/Elliot-Lascelles-6891274305","ON","SS","Upper Canada College HS (ON)","ON","","Upper Canada College (HS) / ON","6' 1""","187.4","2026","6.60","99.9","70.3","88","","","20.5","(10/07/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","18yr 3mo","L","R","Toronto Mets","73","","64 - 66","","","","",""
"125","Drew Christine","Drew Christine","https://www.prepbaseballreport.com/profiles/VA/Drew-Christine-2816754903","VA","LHP","St. John's College HS (VA)","VA","","St. John's College (HS) / VA","6' 3""","170","2026","7.75","82","","80","5","","","Tennessee (9/08/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","","","","Cadets Showcase","89.8","70-74","68.6 - 71.3","82.0-88.8","2674","","",""
"126","Cole Prosek","Cole Prosek","https://www.prepbaseballreport.com/profiles/MS/Cole-Prosek-4327180569","MS","SS","Magnolia Heights HS (MS)","MS","","Magnolia Heights (HS) / MS","6' 1""","195","2026","7.32","95.2","73.5","82","","","24.5","Mississippi (12/01/23) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","18yr 11mo","L","R","EBC","87","","","","","","",""
"127","Logan Hughes","Logan Hughes","https://www.prepbaseballreport.com/profiles/FL/Logan-Hughes-4601385927","FL","OF","Texas Tech","","","Texas Tech","6' 0""","205","2023","6.96","98.4","83.3","79","","","24.2","Texas Tech (6/17/24) (6/01/23) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","","","","Scorpions Giants Scout 2023","","","","","","202","",""
"128","Brady Ballinger","Brady Ballinger","https://www.prepbaseballreport.com/profiles/NY/Brady-Ballinger-7503862149","NY","OF","Kansas","","","Churchville-Chili (HS) / NY","4' 9""","100","2033","","","","","","","","","11yr 5mo","R","R","Prime Baseball","","","","","","","",""
"129","Hayden Johnson","Hayden Johnson","https://www.prepbaseballreport.com/profiles/SC/Hayden-Johnson-5208193764-9412503768","SC","LHP","Coastal Carolina","","","Coastal Carolina","","","2023","","","","","","","","","","","","","","","","","","","",""
"130","Cam Johnson","","","","LHP","Oklahoma","","","","","","","","","","","","","","","","","","","","","","","","","No profile URL resolved.",""
"131","Jorvorskie Lane","Jorvorskie Lane","https://www.prepbaseballreport.com/profiles/TX/Jorvorskie-Lane-2507143689-1503426978","TX","OF","OD Wyatt HS (TX)","TX","","Grapevine (HS) / TX","6' 0""","190","2026","","","","","","","","","","","","","","","","","","","",""
"132","Trey Rangel","Trey Rangel","https://www.prepbaseballreport.com/profiles/TX/Trey-Rangel-7964358012","TX","RHP","The Colony HS (TX)","TX","","The Colony (HS) / TX","6' 1""","185","2026","","","","6","","","","Texas (10/14/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","19yr 1mo","R","R","Canes Southwest National 17u","97","81-84","80-81","87-90","2821","","",""
"133","Spencer Browning","Spencer Browning","https://www.prepbaseballreport.com/profiles/TX/Spencer-Browning-9584713620","TX","SS","Pleasant Grove HS (TX)","TX","","Pleasant Grove (HS) / TX","6' 0""","194.9","2026","6.44","102.1","73.7","88","","","22.8","Arkansas (8/13/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","18yr 5mo","R","R","Arkansas Sticks Baseball","92","70-75","72.5 - 74.6","76.0-77.3","2270","","",""
"134","Nathaneal Davis","Nathaneal Davis","https://www.prepbaseballreport.com/profiles/FL/Nathaneal-Davis-0563978421-2860795341","FL","OF","Bishop Moore HS (FL)","FL","","Bishop Moore (HS) / FL","6' 0""","175","2026","","","","","","","","(9/26/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Pitching Velos News Contact Best Of Stats Fastball 88 Velocity (max) 6/06/24 85 - 87 Velo Range 6/06/24 - Spin Rate (avg) National Program Invitational (NPI) Jun 4, 2026 PBKC World Series Jul 25, 2024 National Program Invitational (NPI) Jun 6, 2024","18yr 3mo","L","L","San Diego Padres National","88","","","","","","",""
"135","Duncan Marsten","Duncan Marsten","https://www.prepbaseballreport.com/profiles/CA/Duncan-Marsten-9408523716","CA","RHP","Wake Forest","","","Wake Forest","6' 3""","220","2024","","","","","","","","Wake Forest (10/27/23) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","20yr 11mo","R","R","CBA Marucci","95","","78-81","81-83","","","",""
"136","Aidan Knaak","Aidan Knaak","https://www.prepbaseballreport.com/profiles/FL/Aidan-Knaak-5728160349-0694287135","FL","RHP","Clemson","","","Bishop Verot (HS) / FL","6' 1""","210","2023","","","","","","","","(6/01/23) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe News Contact Best Of Stats 2023 HS Apr 4, 2023","21yr 8mo","R","R","Florida Burn Scout Team","94","76-79","","76-80","","","",""
"137","Will Libbert","","","","LHP","Ole Miss","","","","","","","","","","","","","","","","","","","","","","","","","No profile URL resolved.",""
"138","Colin Barczi","Colin Barczi","https://www.prepbaseballreport.com/profiles/IL/Colin-Barczi-0145269783","IL","C","Vanderbilt","","","Vanderbilt","6' 2""","220","2023","6.69","104","81.4","","86","86","26.4","Vanderbilt (8/02/21) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","21yr 10mo","R","R","Cangelosi Sparks Black","","","","","","86","",""
"139","Eli Herst","Eli Herst","https://www.prepbaseballreport.com/profiles/WA/Eli-Herst-0179658234","WA","RHP","Seattle Academy HS (WA)","WA","","Seattle Academy (HS) / WA","6' 5""","217.8","2026","7.33","97.0","74.1","","76","7","20.4","Vanderbilt (10/18/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","18yr 3mo","R","R","Trosky / Brewers Scout Team 2026","93.4","75.2-78.8","76-80","84-85","2496","7","",""
"140","Will Yow","Will Yow","https://www.prepbaseballreport.com/profiles/VA/Will-Yow-4381975062","VA","SS","St. Anne's-Belfield HS (VA)","VA","","Saint Anne's-Belfield (HS) / VA","6' 1""","175.5","2026","6.15","100.1","84.4","88","","","23.6","(10/19/25) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","18yr 5mo","R","R","Richmond Braves 17U Platinum Prospects","82","66.7 - 68.2","","68 - 68","","","",""
"141","Colin White","Colin White","https://www.prepbaseballreport.com/profiles/GA/Colin-White-2541780396-1652379408","GA","LHP","Harrison HS (GA)","GA","","Harrison (HS) / GA","6-3","180","2026","7.26","94.3","72.4","90","","","22.3","Florida (10/20/25) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","19yr 4mo","L","L","USA Prime National","95","79-81","75.1 - 76.4","86-88","2633","","",""
"142","RJ Cope","RJ Cope","https://www.prepbaseballreport.com/profiles/GA/RJ--Cope-5439076128","GA","LHP","Georgia Premier Academy HS (GA)","GA","","Georgia Premier Academy (HS) / GA","6' 8""","235","2026","","93.8","","","","","","","19yr 2mo","L","L","GBSA RAYS","96","77-80","80-84","82-86","","","",""
"143","Shawn Sullivan","Shawn Sullivan","https://www.prepbaseballreport.com/profiles/OH/Shawn--Sullivan-8601429735","OH","RHP","Walsh Jesuit HS (OH)","OH","","Walsh Jesuit (HS) / OH","6' 0""","180","2026","6.63","96","72.8","2","87","","24.6","Tennessee (11/16/25) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","","","","Legends Scout","96","79-81","85-86","84-85","2434","202","",""
"144","Jack Slightom","Jack Slightom","https://www.prepbaseballreport.com/profiles/IL/Jack-Slightom-0954723168","IL","RHP","Lyons Township HS (IL)","IL","","Lyons Township (HS) / IL","6' 4""","205","2026","","","","","65","4","","(5/14/25) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","18yr 1mo","R","R","Top Tier","96","77-77","82-83","85-87","2545","4","",""
"145","Dylan Blomker","Dylan Blomker","https://www.prepbaseballreport.com/profiles/NM/Dylan-Blomker-2","NM","RHP","La Cueva HS (NM)","NM","","La Cueva (HS) / NM","6' 3""","195","2026","","","","","","","","","","","","","96","","83-86","86-88","","","",""
"146","Connor Langdon","Connor Langdon","https://www.prepbaseballreport.com/profiles/GA/Connor-Langdon-0457638192","GA","LHP","Perry HS (GA)","GA","","Perry (HS) / GA","6' 2""","190","2026","","","","","","","","","18yr 9mo","L","L","Canes National 16 U","95","80-83","74-78","78-81","","","",""
"147","Ethan Surowiec","Ethan Surowiec","https://www.prepbaseballreport.com/profiles/MS/Ethan-Surowiec-7503418692","MS","3B","Florida","","","Florida","6' 2""","215","2024","7.11","92.3","69.2","88","","","24.0","Florida (6/04/25) Mississippi (6/01/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","20yr 10mo","R","R","Knights Knation","88.3","67 - 69","72.7 - 77.5","78.3 - 79.5","","","",""
"148","Tre Broussard","Tre' Broussard","https://www.prepbaseballreport.com/profiles/TX/Tre-Broussard-5291603487","TX","OF","Houston","","","Houston","6' 2""","145","2023","","87.3","","81","81","","","Houston (9/22/25) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","20yr 8mo","L","L","Marucci Elite","","","","","","202","",""
"149","Blake Morningstar","Blake Morningstar","https://www.prepbaseballreport.com/profiles/PA/Blake-Morningstar-8135629047","PA","RHP","Wake Forest","","","Wake Forest","6' 4""","215","2023","","","","","","","","Wake Forest (8/02/21) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","21yr 1mo","R","R","East Coast Sandhogs","95","70.6-73.1","79-82","81-82","2117","","",""
"150","Alex Overbay","Alex Overbay","https://www.prepbaseballreport.com/profiles/WA/Alex-Overbay-3970684125","WA","RHP","Arizona State","","","Arizona State","6' 2""","205","2023","","","","6","","","","Arizona State (6/06/25) (6/01/23) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","21yr 3mo","R","R","Olympia Titans","86.8","72.0-74.0","","72.1-73.7","2287","202","",""
"151","Gunner Skelton","Gunner Skelton","https://www.prepbaseballreport.com/profiles/TN/Gunner-Skelton-2783645910","TN","3B","Columbia Academy HS (TN)","TN","","Columbia Academy (HS) / TN","6' 0""","200","2026","7.07","105.4","85.3","94","","2.03 - 2.03","23.4","Vanderbilt (9/15/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","18yr 9mo","R","R","Rawlings MAD Mavericks","90","76-78","74-80","79.1-80.3","2339","10","",""
"152","Josiah Morris","Josiah Morris","https://www.prepbaseballreport.com/profiles/CA/Josiah-Morris-7103684259-5948736210","CA","C","Clayton Valley HS (CA)","CA","","Clayton Valley Charter (HS) / CA","6' 0""","165","2026","","","","","","","","Oklahoma State (3/08/25) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe News Twitter Contact Best Of Stats","17yr 10mo","R","R","Alpha Prime 2026","","","","","","","",""
"153","CJ Weinstein","CJ Weinstein","https://www.prepbaseballreport.com/profiles/CA/Cole-Weinstein-2394057681","CA","SS","Orange Lutheran HS (CA)","CA","","Orange Lutheran (HS) / CA","6' 1""","184","2026","6.93","99.0","74.6","87","","","24.4","(11/25/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","19yr 1mo","L","R","SoCal Giants","79.3","64 - 67","","68 - 72","","","",""
"154","Spencer Evans","Spencer Evans","https://www.prepbaseballreport.com/profiles/GA/Spencer-Evans-7419803625","GA","LHP","TNXL Academy HS (FL)","FL","","TNXL Academy (HS) / FL","6' 3""","180","2026","","","","","","","","(10/08/25) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot TrackMan Pitching Pitching Velos News Comments Contact Best Of Stats Fastball 95 Velocity (max) 5/12/26 91 - 95 Velo Range 6/05/25 2123 Spin Rate (avg) 9/03/24 Changeup 82.2 - 83.1 Velo Range 9/03/24 1442 Spin Rate (avg) 9/03/24 Curveball 76 - 78 Velo Range 6/05/25 - Spin Rate (avg) Slider 78 - 84 Velo Range 5/12/26 2342 Spin Rate (avg) 9/03/24 ABA Conference Championship May 12, 2026 National Program Invitational (NPI) Jun 5, 2025 2024 TNXL Academy Scout Day Sep 3, 2024 vs Cherokee Mar 10, 2023 Underclass Fall World Series Oct 7, 2022 PBR Fall Open Sep 9, 2022 PBR Junior Future Games Jul 26, 2022 PBR Junior Future Games Jul 28, 2021 2021 Junior Future Games Jul 28, 2021","18yr 10mo","L","L","Canes","95","76-78","78-84","83-84","2244","","",""
"155","Thomas Burns","Thomas Burns","https://www.prepbaseballreport.com/profiles/WI/Thomas-Burns-5180273496","WI","RHP","Texas","","","Texas","6' 4""","240","2023","","","","","","","","Texas (7/01/24) Arizona State (3/21/22) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot TrackMan Pitching Pitch Scores Pitching Velos Swift PitchAI News Comments Twitter Contact Best Of Stats Fastball 92 Velocity (max) 7/21/22 90 - 92 Velo Range 7/21/22 2270 Spin Rate (avg) 3/06/21 Changeup 84 - 85 Velo Range 7/28/21 1635 Spin Rate (avg) 3/06/21 Curveball 73 - 75 Velo Range 3/06/22 2062 Spin Rate (avg) 3/06/21 Slider 72.9 - 76.3 Velo Range 3/06/22 2176 Spin Rate (avg) 3/06/22 6.84 60-yd 6/21/22 3.79 30-yd 6/21/22 1.62 10-yd 6/21/22 20.2 Run speed (max) 6/21/22 The Rock Fall Championships Sep 23, 2022 Grand Park Fall Championships Sep 9, 2022 The Rock Summer Championships Jul 21, 2022 PBR ProCase - Midwest (Invite-Only) Jun 21, 2022 South Milwaukee Preseason ID Mar 6, 2022 PBR at The Rock - Fall Championships Sep 23, 2021 PBR Cup Sep 17, 2021 2021 PBR Future Games (Wisconsin Invite) Jul 28, 2021 2021 Future Games Jul 28, 2021 Badger State Battle Jul 1, 2021 All-State Games (Invite Only) Jun 29, 2021 Fox Cities Preseason I.D. Mar 6, 2021 Badger State Battle Jul 2, 2020 PBR at The Rock Championships Jun 18, 2020 Fox Cities Preseason I.D. Mar 8, 2020 Southern Wisconsin Open Oct 19, 2019","21yr 8mo","R","R","Hitters 2023","92","73-75","72.9 - 76.3","84-85","2364","","",""
"156","Shane Sado","","","","LHP","Texas A&M","","","","","","","","","","","","","","","","","","","","","","","","","No profile URL resolved.",""
"157","Hudson Barrett","Hudson Barrett","https://www.prepbaseballreport.com/profiles/CA/Hudson-Barrett-3672905841-6953017842","CA","LHP","Oklahoma State","","","Oklahoma State","6' 5""","210","2022","","","","","","","","","","","","","89","","","77-78","","","",""
"158","Justin Byrd","Justin Byrd","https://www.prepbaseballreport.com/profiles/GA/Justin--Byrd-2894573610","GA","RHP","Georgia","","","North Oconee (HS) / GA","6' 2""","190","2022","","","","7","","","","(6/14/24) (6/01/22) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","22yr 1mo","R","R","Evoshields","89","68-72","68.4 - 70.5","71.4-73.2","1986","202","",""
"159","Joseph Lawson","Joey Lawson","https://www.prepbaseballreport.com/profiles/FL/Joseph-Lawson","FL","RHP","Bishop Verot HS (FL)","FL","","Bishop Verot (HS) / FL","6' 2""","210","2026","7.39","97.5","79.3","","","","24.4","","18yr 11mo","R","R","2026 CBU Scout Team James","94","75-78","75-77","83-84","2306","","",""
"160","Jack Radel","Jack Radel","https://www.prepbaseballreport.com/profiles/SD/Jack-Radel-1536894027","SD","RHP","Notre Dame","","","Notre Dame","6' 4""","245","2023","","","","8","68","8","","Notre Dame (6/01/23) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","21yr 8mo","R","R","Sioux Falls Cyclones","90.4","73-75","77.2 - 78.9","83.6-83.9","2224","8","",""
"161","Cal Scolari","Cal Scolari","https://www.prepbaseballreport.com/profiles/NV/Callan-Scolari-9871062354","NV","RHP","Oregon","","","Bishop Manogue (HS) / NV","6' 4""","185","2023","6.89","89.1","71.7","8","90","","24.1","(6/01/23) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","","","","Reno A'S","89","68.8-72.1","70.7 - 78.3","78-79","2303","775","",""
"162","Cooper Webb","Cooper Webb","https://www.prepbaseballreport.com/profiles/TX/Cooper-Webb-3249651870","TX","RHP","Lake Travis HS (TX)","TX","","Lake Travis (HS) / TX","6' 3""","195","2026","","","","4","1","","","Texas (10/29/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","18yr 10mo","R","R","Wow Factor National","94","71-72","75 - 77","76.1-76.2","2139","","",""
"163","Gunnar Alm","Gunnar Alm","https://www.prepbaseballreport.com/profiles/NC/Gunnar-Alm-9564380721-4768915023","NC","OF","Polk County HS (NC)","NC","","Polk County (HS) / NC","6' 0""","172.4","2026","6.89","99.0","76.0","89","89","","23.5","North Carolina State (10/30/23) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","19yr 6mo","L","L","South Charlotte Panthers","74","56-60","","62-65","","","",""
"164","Wilson Andersen","Wilson Andersen","https://www.prepbaseballreport.com/profiles/FL/Wilson-Andersen-2950643718","FL","RHP","Jesuit HS (FL)","FL","","Jesuit (HS) / FL","6' 3""","192","2026","7.60","96.7","","81","7","","","(10/09/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","18yr 4mo","R","R","MBA Scout Team 2026","98","86-92","82-85","86-86","","202","",""
"165","Bo Holloway","Bo Holloway","https://www.prepbaseballreport.com/profiles/TN/Bo-Holloway-4810532769","TN","LHP","Christ Presbyterian HS (TN)","TN","","Christ Presbyterian Academy (HS) / TN","6' 5""","205","2026","","","","","","","","Vanderbilt (4/15/25) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot TrackMan Pitching Pitch Scores Pitching Velos Vizual Edge News Comments Twitter Contact Best Of Stats Fastball 97 Velocity (max) 6/05/25 94 - 97 Velo Range 6/05/25 2351 Spin Rate (avg) 7/24/24 Changeup 88 - 89 Velo Range 6/05/25 1929 Spin Rate (avg) 5/28/24 Curveball 76.7 - 79.3 Velo Range 7/26/23 2357 Spin Rate (avg) 7/26/23 Slider 84 - 85.3 Velo Range 7/24/24 2212 Spin Rate (avg) 7/24/24 Future Games Jul 23, 2026 2026 Spring Heat Sheet Mar 1, 2026 17U National Championship Jul 16, 2025 National Program Invitational (NPI) Jun 5, 2025 Prep Baseball Cup Sep 20, 2024 Future Games (Class of 2026/27) Jul 24, 2024 National Program Invitational (NPI) Jun 6, 2024 Top Prospect Games (Invite-Only) May 28, 2024 2023 PBR Future Games Jul 26, 2023 State Games of Georgia May 27, 2023","18yr 7mo","L","L","Rawlings SE Mavs","98","76.7-79.3","84 - 85.3","88-89","2537","","",""
"166","Bryce Krenek","Bryce Krenek","https://www.prepbaseballreport.com/profiles/TX/bryce-krenek","TX","LHP","Katy Taylor HS (TX)","TX","","Katy Taylor (HS) / TX","6' 2""","220","2026","","","","","","","","Texas (9/23/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot TrackMan Pitching Pitching Velos News Comments Contact Best Of Stats Fastball 92 Velocity (max) 6/05/25 89 - 91 Velo Range 6/05/25 1983 Spin Rate (avg) 7/24/24 Changeup 77 - 80 Velo Range 1/14/24 1655 Spin Rate (avg) 1/14/24 Curveball 75 - 78 Velo Range 6/05/25 - Spin Rate (avg) Slider 77 - 80 Velo Range 6/05/25 2131 Spin Rate (avg) 7/24/24 Future Games Jul 23, 2026 National Program Invitational (NPI) Jun 5, 2025 Future Games (Class of 2026/27) Jul 24, 2024 Houston Preseason ID Jan 14, 2024","18yr 10mo","L","L","Texas Twelve","92","75-78","77-80","77-80","2103","","",""
"167","Brody Bumila","Brody Bumila","https://www.prepbaseballreport.com/profiles/MA/brody-bumila","MA","LHP","Bishop Feehan HS (MA)","MA","","Bishop Feehan (HS) / MA","6' 8""","240","2026","","","","","","","","","18yr 3mo","L","L","GBG Northeast 16U","100","79-80","80-85","88-91","2303","","",""
"168","Kaiden McCarthy","Kaiden McCarthy","https://www.prepbaseballreport.com/profiles/VT/Kaiden--McCarthy--5346892710","VT","RHP","Vermont Academy HS (VT)","VT","","Vermont Academy (HS) / VT","6' 0""","190","2026","","","","","","","","Tennessee (11/03/25) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot TrackMan Pitching Pitch Scores Pitching Velos News Comments Contact Best Of Stats Fastball 98 Velocity (max) 3/27/26 94 - 96 Velo Range 9/21/25 2200 Spin Rate (avg) 8/02/24 Changeup 85 - 86 Velo Range 3/27/26 1869 Spin Rate (avg) 8/02/24 Curveball 80 - 81 Velo Range 3/27/26 2062 Spin Rate (avg) 7/23/25 Slider 86 - 87 Velo Range 3/27/26 2056 Spin Rate (avg) 7/23/25 2026 New England HS Coverage (April-June) Mar 27, 2026 2025 JR. Subway Series Sep 21, 2025 Northeast Fall Invite Sep 19, 2025 Future Games (Class of 2027) Jul 23, 2025 Future Games Jul 23, 2025 2024 JR. Subway Series Oct 3, 2024 2024 East Coast Super Sophomore Games (MA Invite Only) Aug 2, 2024 2024 East Coast Super Sophomore Games (NC Invite Only) Aug 2, 2024","17yr 9mo","R","R","USA Prime/Detroit Tigers Scout 17u/All Stars Academy/Milwaukee Brewers Scout","98","80-81","86-87","85-86","2476","","",""
"169","Ethan Offing","Ethan Offing","https://www.prepbaseballreport.com/profiles/SC/Ethan-Offing-9135024786","SC","SS","Dutch Fork HS (SC)","SC","","Dutch Fork (HS) / SC","6' 1""","195","2026","6.68","108.5","83.8","85","","","24.4","(9/09/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","18yr 1mo","R","R","Dirtbags National","","","","","","","",""
"170","Ayden Deome","Ayden Deome","https://www.prepbaseballreport.com/profiles/CA/Ayden-Deome-1067253849-6378415029","CA","3B","West Park HS (CA)","CA","","West Park (HS) / CA","6' 3""","200","2026","6.95","98.6","73.9","85","","","22.5","Arizona (8/15/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","18yr 7mo","L","R","NorCal U 2026","","","","","","202","",""
"171","Will Adams","Will Adams","https://www.prepbaseballreport.com/profiles/AL/Will-Adams-3761402895","AL","OF","Hoover HS (AL)","AL","","Hoover (HS) / AL","6' 0""","202.4","2026","6.75","102.2","","5","87","","","(12/13/24) (8/21/22) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","18yr 1mo","L","L","The Prospect Lab(TPL)","92","76-78","","80-81","","","",""
"172","Ryne Barker","Ryne Barker","https://www.prepbaseballreport.com/profiles/AZ/Ryne-Barker-5279436108-1482359760","AZ","SS","Casteel HS (AZ)","AZ","","Casteel (HS) / AZ","6' 1""","171.7","2026","6.46","102.9","75.9","87","","","22.8","Texas Tech (9/06/25) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","19yr 5mo","L","R","USA Prime Detroit Tigers Scout Team","76","","63.9 - 65.1","67.1 - 69.2","","","",""
"173","Cooper Shrum","Cooper Shrum","https://www.prepbaseballreport.com/profiles/MO/Cooper-Shrum-2641783950","MO","RHP","Belton HS (MO)","MO","","Belton (HS) / MO","6' 6""","185","2026","7.49","95.0","74.7","","","","23.9","","18yr 11mo","L","R","Royals Scout Team","94","71-76","83-85","82-83","","","",""
"174","Cashel Dugger","Cashel Dugger","https://www.prepbaseballreport.com/profiles/CO/Cashel-Dugger-5934078261","CO","C","UCLA","","","UCLA","6' 0""","180","2023","8.02","88","71.2","74","71","71","25.3","UCLA (9/05/22) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","20yr 9mo","L","R","Colorado Yard Dawgs-Bates","","","","","","71","",""
"175","Jackson Natili","Jackson Natili","https://www.prepbaseballreport.com/profiles/PA/Jackson-Natili-7210398465","PA","C","Cincinnati","","","Peters Township (HS) / PA","6' 3""","210","2023","7.57","96.3","77.2","","83","83","24.0","(11/20/20) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","21yr 2mo","R","R","Team All*American","90","70 - 73","77.1 - 80.1","83 - 85","","83","",""
"176","Daniel Jackson","Daniel Jackson","https://www.prepbaseballreport.com/profiles/GA/Daniel-Jackson-9073284156","GA","C","Georgia","","","North Springs (HS) / GA","6' 0""","200","2023","6.94","98","78.5","","74","74","24.4","(7/01/24) (6/01/23) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","21yr 5mo","R","R","643","82","69 - 72","","","","74","",""
"177","Chase Kiker","Chase Kiker","https://www.prepbaseballreport.com/profiles/NC/Chase-Kiker-2860514793","NC","RHP","Metrolina Christian HS (NC)","NC","","Metrolina Christian Academy (HS) / NC","6' 0""","203.3","2026","7.16","105.5","87.6","92","","","24.9","(9/24/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","18yr 7mo","R","R","Dirtbags National","97","80.5-82.3","82-82","82.2-82.2","2610","","",""
"178","Dylan Bowen","Dylan Bowen","https://www.prepbaseballreport.com/profiles/IN/Dylan-Bowen-1478056392","IN","SS","Hanover Central HS (IN)","IN","","Hanover Central (HS) / IN","5' 11""","185.9","2026","6.63","101.1","78.9","93","","","23.1","Oklahoma State (11/07/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","19yr 3mo","R","R","Top Tier 15u American","89","74-76","","75-76","","","",""
"179","Kaden Powell","Kaden Powell","https://www.prepbaseballreport.com/profiles/TN/Kaden-Powell-8745130629","TN","OF","Beech HS (TN)","TN","","Beech (HS) / TN","6' 4""","250","2026","6.90","106.5","81.0","92","92","7","23.3","Kentucky (6/01/26) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","18yr 10mo","R","L","Rawlings SE Mad Mavericks","93","76-78","","","","7","",""
"180","Isaiah James","Isaiah James","https://www.prepbaseballreport.com/profiles/NC/Isaiah-James-3504961728","NC","LHP","South Central HS (NC)","NC","","South Central (HS) / NC","6' 5""","210","2026","9.32","72.3","","60","60","","","(7/28/25) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","18yr 6mo","R","L","East Carolina Baseball Academy","90","75-77","","54-56","1936","17","",""
