"rank","player_name","profile_name","profile_url","profile_state","article_position","article_school","article_state","article_notes","high_school","height","weight","grad_year","sixty_time","max_exit_velocity","max_bat_speed","infield_velocity","outfield_velocity","catcher_velocity","max_hand_speed","commitment","age","bats","throws","travel_team","fastball_velocity","curveball_velocity","slider_velocity","changeup_velocity","fastball_spin_rate","pop_time","scrape_error","home_to_first"
"24","Tyler Bell","Tyler Bell","https://www.prepbaseballreport.com/profiles/WI/Tyler-Bell-2437861905","WI","SS","Kentucky","","","Pewaukee (HS) / WI","5' 11""","150","2022","7.82","85","66.4","79","","","24.1","request. Login Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","22yr 11mo","R","R","Milwaukee Halos","","","","","","","",""
"25","Kaden Waechter","Kaden Waechter","https://www.prepbaseballreport.com/profiles/FL/Kaden-Waechter-4296873150","FL","RHP","Jesuit HS (FL)","FL","+ RHP Coleman Borthwick (South Walton HS, FL) has separated himself as the premier right-hander in the class thanks to explosive stuff, incessant strike-throwing ability, and of course, his massive 6-foot-6, 245-pound frame. Both RHP Cole Koeninger (Keller HS, TX) and RHP Kaden Waechter (Jesuit HS, FL) also hold intrinsic top end value and should see a steady rise throughout the spring. But there are only so many picks in the first round, and with this year?s crop of prep right-handers, clubs further down the board are likely to be salivating over the talent pool. The separation from ranks Nos. 4 through 40 amongst the group does not feel all that significant, and even if a large number sign contracts in July, it feels almost a certainty that college baseball will be receiving an influx of elite arms next year.","Jesuit (HS) / FL","6' 3""","190","2026","6.78","101.2","75.0","89","1","","22.7","Florida State (12/30/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","18yr 9mo","R","R","Top Tier","96","85-87","86-88","87-87","2706","","",""
"26","Derek Curiel","Derek Curiel","https://www.prepbaseballreport.com/profiles/CA/Derek-Curiel-9473158062","CA","OF","LSU","","","Orange Lutheran (HS) / CA","6' 2""","180","2024","6.77","98.1","73.8","83","83","","22.4","(6/01/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","20yr 11mo","L","L","USA Prime National 2024","","","","","","","",""
"27","Chris Rembert","","","","MIF","Auburn","","","","","","","","","","","","","","","","","","","","","","","","","No profile URL resolved.",""
"28","Ryder Helfrick","Ryder Helfrick","https://www.prepbaseballreport.com/profiles/CA/Ryder-Helfrick-8964132750-6805423971","CA","C","Arkansas","","","Arkansas","6' 1""","210","2023","","101.1","75.3","","82","82","24.4","","21yr 3mo","R","R","Alpha Prime 2023","","","","","","82","",""
"29","Chris Hacopian","","","","2B","Texas A&M","","","","","","","","","","","","","","","","","","","","","","","","","No profile URL resolved.",""
"30","Brady Harris","Brady Harris","https://www.prepbaseballreport.com/profiles/FL/Brady-Harris-1904536728","FL","OF","Trinity Christian HS (FL)","FL","","Trinity Christian Academy (HS) / FL","6' 0""","179.9","2026","6.52","103.3","79.8","4","92","","26.0","Florida (6/24/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","18yr 4mo","R","R","2026 MBA Scout Team","","","","","","202","",""
"31","Sean Dunlap","Sean Dunlap","https://www.prepbaseballreport.com/profiles/IN/Sean-Dunlap-6194328570","IN","C","Crown Point HS (IN)","IN","","Crown Point (HS) / IN","6' 3""","203.7","2026","6.50","109.8","88.9","","85","85","27.0","Tennessee (11/08/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","18yr 1mo","R","R","5 Star Great Lakes National 2026 Scout","","","","","","85","",""
"32","Will Brick","Will Brick","https://www.prepbaseballreport.com/profiles/TN/William--Brick-1708653249","TN","C","Christian Brothers HS (TN)","TN","","Christian Brothers (HS) / TN","6' 0""","198.6","2026","7.26","109.0","86.8","90","6","83","24.7","(10/27/25) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","17yr 11mo","R","R","EBC Griggs 15u","","","","","","83","",""
"33","Gabe Gaeckle","Gabe Gaeckle","https://www.prepbaseballreport.com/profiles/CA/Gabe-Gaeckle-5941830762-1430785926","CA","RHP","Arkansas","","","Arkansas","6' 0""","210","2023","","","","","","","","","21yr 7mo","R","R","Alpha Prime","94","78-81","","83-84","","","",""
